ea_type,timestamp,session,symbol,source_file,action,trade_type,strategy,score,atr,price,sl,tp,reason,result,trade_id,profit,risk,r_multiple,raw
M5,2026.03.01 23:01:00,Off Session,,20260325.log,SIGNAL_CHECK,BUY,TREND,20.0,4.73,5319.57,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,CR	0	20:40:48.146	Core 1	2026.03.01 23:01:00   [GoldEA] [TREND] BUY check: price=5319.57 atr=4.73 score=20 reason=SESSION_BLOCKED_LOW_SCORE
M5,2026.03.01 23:01:00,Off Session,,20260325.log,SIGNAL_CHECK,SELL,TREND(CT),-20.0,4.73,5319.57,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,PM	0	20:40:48.146	Core 1	2026.03.01 23:01:00   [GoldEA] [TREND(CT)] SELL check: price=5319.57 atr=4.73 score=-20 reason=SESSION_BLOCKED_LOW_SCORE
M5,2026.03.01 23:07:00,Off Session,,20260325.log,SIGNAL_CHECK,BUY,TREND,20.0,7.58,5332.97,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,LF	0	20:40:48.146	Core 1	2026.03.01 23:07:00   [GoldEA] [TREND] BUY check: price=5332.97 atr=7.58 score=20 reason=SESSION_BLOCKED_LOW_SCORE
M5,2026.03.01 23:07:00,Off Session,,20260325.log,SIGNAL_CHECK,SELL,TREND(CT),-20.0,7.58,5332.97,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,GI	0	20:40:48.146	Core 1	2026.03.01 23:07:00   [GoldEA] [TREND(CT)] SELL check: price=5332.97 atr=7.58 score=-20 reason=SESSION_BLOCKED_LOW_SCORE
M5,2026.03.01 23:10:00,Off Session,,20260325.log,SIGNAL_CHECK,BUY,TREND,20.0,9.59,5351.52,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,OJ	0	20:40:48.146	Core 1	2026.03.01 23:10:00   [GoldEA] [TREND] BUY check: price=5351.52 atr=9.59 score=20 reason=SESSION_BLOCKED_LOW_SCORE
M5,2026.03.01 23:10:00,Off Session,,20260325.log,SIGNAL_CHECK,SELL,TREND(CT),-20.0,9.59,5351.52,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,DE	0	20:40:48.146	Core 1	2026.03.01 23:10:00   [GoldEA] [TREND(CT)] SELL check: price=5351.52 atr=9.59 score=-20 reason=SESSION_BLOCKED_LOW_SCORE
M5,2026.03.01 23:15:00,Off Session,,20260325.log,SIGNAL_CHECK,BUY,TREND,20.0,10.3,5348.42,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,JM	0	20:40:48.146	Core 1	2026.03.01 23:15:00   [GoldEA] [TREND] BUY check: price=5348.42 atr=10.30 score=20 reason=SESSION_BLOCKED_LOW_SCORE
M5,2026.03.01 23:15:00,Off Session,,20260325.log,SIGNAL_CHECK,SELL,TREND(CT),-20.0,10.3,5348.42,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,KR	0	20:40:48.146	Core 1	2026.03.01 23:15:00   [GoldEA] [TREND(CT)] SELL check: price=5348.42 atr=10.30 score=-20 reason=SESSION_BLOCKED_LOW_SCORE
M5,2026.03.01 23:20:00,Off Session,,20260325.log,SIGNAL_CHECK,BUY,TREND,20.0,11.02,5347.57,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,QQ	0	20:40:48.146	Core 1	2026.03.01 23:20:00   [GoldEA] [TREND] BUY check: price=5347.57 atr=11.02 score=20 reason=SESSION_BLOCKED_LOW_SCORE
M5,2026.03.01 23:20:00,Off Session,,20260325.log,SIGNAL_CHECK,SELL,TREND(CT),-20.0,11.02,5347.57,,,SESSION_BLOCKED_LOW_SCORE,SKIPPED,,,,,LM	0	20:40:48.146	Core 1	2026.03.01 23:20:00   [GoldEA] [TREND(CT)] SELL check: price=5347.57 atr=11.02 score=-20 reason=SESSION_BLOCKED_LOW_SCORE
